1 	LOC_home 	0.752 	0.795
2 	OR_indoors 	0.867 	0.904
3 	PHONE_ON_TABLE 	0.789 	0.837
4 	SITTING 	0.757 	0.784
5 	WITH_FRIENDS 	0.608 	0.781
6 	LYING_DOWN 	0.870 	0.886
7 	SLEEPING 	0.891 	0.900
8 	WATCHING_TV 	0.639 	0.789
9 	EATING 	0.657 	0.712
10 	PHONE_IN_POCKET 	0.778 	0.843
11 	TALKING 	0.664 	0.732
12 	DRIVE-Passenger 	0.834 	0.912
13 	OR_standing 	0.679 	0.686
14 	IN_A_CAR 	0.864 	0.887
15 	OR_exercise 	0.821 	0.841
16 	AT_THE_GYM 	0.651 	0.913
17 	SINGING 	0.524 	0.888
18 	FIX_walking 	0.797 	0.816
19 	OR_outside 	0.856 	0.901
20 	SHOPPING 	0.723 	0.874
21 	AT_SCHOOL 	0.739 	0.815
22 	BATHING_-SHOWER 	0.632 	0.787
23 	DRESSING 	0.660 	0.821
24 	DRINKING__ALCOHOL 	0.681 	0.892
25 	PHONE_IN_HAND 	0.685 	0.774
26 	FIX_restaurant 	0.770 	0.878
27 	IN_CLASS 	0.767 	0.891
28 	PHONE_IN_BAG 	0.753 	0.849
29 	IN_A_MEETING 	0.797 	0.851
30 	TOILET 	0.635 	0.754
31 	COOKING 	0.712 	0.804
32 	ELEVATOR 	0.500 	0.845
33 	FIX_running 	0.658 	0.895
34 	BICYCLING 	0.867 	0.882
35 	LAB_WORK 	0.828 	0.918
36 	LOC_main_workplace 	0.822 	0.863
37 	ON_A_BUS 	0.809 	0.880
38 	DRIVE-DRIVER 	0.858 	0.891
39 	STROLLING 	0.649 	0.874
40 	CLEANING 	0.624 	0.767
41 	DOING_LAUNDRY 	0.648 	0.840
42 	WASHING_DISHES 	0.606 	0.804
43 	SURFING_THE_INTERNET 	0.611 	0.748
44 	AT_A_PARTY 	0.765 	0.956
45 	AT_A_BAR 	0.783 	0.972
46 	LOC_beach 	0.498 	0.973
47 	COMPUTER_WORK 	0.705 	0.775
48 	GROOMING 	0.632 	0.779
49 	STAIRS-UP 	0.595 	0.870
50 	STAIRS-DOWN 	0.609 	0.853
51 	WITH_CO-WORKERS 	0.608 	0.853